,0,1
0,30.232387,-97.729292
1,30.370203,-97.897807
2,30.23124,-97.795476
3,30.357031,-97.692091
4,30.305083,-97.69814
7,30.389108,-97.658159
8,30.242253,-97.975217
10,30.389108,-97.658159
12,30.389108,-97.658159
13,30.173769,-97.764417
14,30.396052,-97.694087
15,30.334454,-97.716634
16,30.39307,-97.676452
17,30.29766,-97.494357
19,30.216938,-97.527444
23,30.451126,-97.66994
25,30.25658,-97.706503
26,30.379889,-97.705741
27,30.267756,-97.687752
29,30.379889,-97.705741
30,30.252531,-97.834576
32,30.327128,-97.732433
34,30.305372,-97.706489
35,30.389108,-97.658159
36,30.198837,-97.72864
38,30.345865,-97.531473
39,30.389108,-97.658159
40,30.198061,-97.579978
42,30.17415,-97.797072
46,30.346033,-97.701859
47,30.389108,-97.658159
49,30.389108,-97.658159
50,30.316965,-97.623758
51,30.298553,-97.720058
52,30.213975,-97.859448
53,30.346033,-97.701859
54,30.13624,-97.780275
55,30.357907,-97.683431
57,30.443747,-97.745708
62,30.154213,-97.845515
63,30.154213,-97.845515
64,30.154213,-97.845515
66,30.199766,-97.509951
67,30.154213,-97.845515
75,30.188318,-97.76465
76,30.143098,-97.787056
77,30.220407,-97.661327
78,30.387233,-97.662881
80,30.143098,-97.787056
86,30.509626,-98.102158
87,30.227334,-97.777477
88,30.304224,-97.472063
89,30.173913,-97.802457
91,30.188318,-97.76465
92,30.230626,-97.779853
93,30.314358,-97.657488
94,30.202651,-97.805566
95,30.143098,-97.787056
96,30.21186,-97.867218
97,30.376928,-97.667733
98,30.270568,-97.683892
99,30.213975,-97.859448
100,30.230626,-97.779853
101,30.355142,-97.614471
102,30.203288,-97.827222
105,30.146777,-97.838457
106,30.304224,-97.472063
107,30.406526,-97.694782
108,30.154213,-97.845515
110,30.198933,-97.77881
111,30.198933,-97.77881
112,30.198933,-97.77881
113,30.277175,-97.661691
114,30.138837,-97.583917
115,30.30723,-97.686715
116,30.268091,-97.745444
117,30.220589,-97.744757
119,30.264271,-97.71608
121,30.17531,-97.613656
125,30.309878,-97.534859
126,30.274245,-97.70413
127,30.274245,-97.70413
128,30.17531,-97.613656
131,30.268929,-97.760472
132,30.379889,-97.705741
133,30.138837,-97.583917
134,30.379889,-97.705741
135,30.369989,-97.708915
136,30.370488,-97.697201
137,30.449905,-97.613157
138,30.42087,-97.640255
139,30.356697,-97.69114
140,30.256489,-97.578086
141,30.210165,-97.852888
142,30.451312,-97.782396
143,30.449905,-97.613157
144,30.200075,-97.864634
145,30.274245,-97.70413
146,30.470335,-97.634016
147,30.232414,-97.737208
148,30.304224,-97.472063
149,30.304224,-97.472063
151,30.364203,-97.739513
154,30.160173,-97.826054
156,30.459265,-97.816154
158,30.274245,-97.70413
160,30.459265,-97.816154
161,30.459265,-97.816154
162,30.459265,-97.816154
163,30.446401,-97.759901
164,30.338079,-97.560887
165,30.459265,-97.816154
166,30.459265,-97.816154
167,30.178699,-97.822151
169,30.138837,-97.583917
170,30.160173,-97.826054
171,30.210165,-97.852888
173,30.174068,-97.628622
174,30.35512,-97.715398
175,30.173693,-97.821911
176,30.252635,-97.692346
177,30.212431,-97.886379
180,30.32903,-97.724395
182,30.160173,-97.826054
183,30.210165,-97.852888
184,30.160173,-97.826054
186,30.197188,-97.761024
187,30.186848,-97.894789
189,30.185674,-97.801794
193,30.543343,-97.941121
194,30.543343,-97.941121
195,30.223009,-97.66425
196,30.418658,-97.89612
198,30.210165,-97.852888
200,30.160173,-97.826054
201,30.212431,-97.886379
202,30.212431,-97.886379
203,30.384311,-97.706726
204,30.212431,-97.886379
205,30.212431,-97.886379
206,30.202653,-97.667267
208,30.185674,-97.801794
209,30.253671,-97.877721
210,30.44944,-97.780005
211,30.253671,-97.877721
212,30.254887,-97.71823
214,30.254903,-97.578563
215,30.254887,-97.71823
216,30.378511,-97.675352
220,30.36786,-97.973501
221,30.38848,-97.751695
222,30.181115,-97.753262
224,30.345865,-97.531473
225,30.13995,-97.589338
226,30.13995,-97.589338
227,30.13995,-97.589338
228,30.13995,-97.589338
